entidad,nit_entidad,codigo_entidad,departamento_entidad,ciudad_entidad,procesos,completitud_promedio,pct_con_url,pct_con_descripcion,pct_con_precio_base,pct_ids_clave,pct_consistencia_estados,pct_competencia_reportada,pct_trazabilidad_temporal,pct_anomalia_temporal
E.S.E. HOSPITAL SAN RAFAEL DE LETICIA,838000096,702858424,Amazonas,Leticia,6,89.2467,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD DE GARAGOA,820001016,703670380,No Definido,No Definido,6,89.7833,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO CARTAGO,836000147,702359399,Valle del Cauca,Cartago,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE RIOSUCIO CALDAS,810001055,703099804,No Definido,No Definido,6,89.7833,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO INPEC DE IPIALES,837000111,702951997,No Definido,No Definido,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
INSTITUTO PARA EL DESARROLLO DEL CESAR,9000624898,711599670,Cesar,Valledupar,6,85.4833,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MINISTERIO DEL TRABAJO DIRECCION TERRITORIAL NORTE DE SANTANDER,807006594,703575126,Norte de Santander,No Definido,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MINISTERIO DEL TRABAJO TERRITORIAL MAGDALENA,800226041,703708156,Magdalena,Santa Marta,6,84.945,100.0,100.0,100.0,100.0,100.0,16.6667,0.0,0.0
MUNICIPIO DE BOYACA,800023383,703949370,Boyacá,Boyacá,6,89.2467,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
MUNICIPIO DE COVARACHIA1,891857920,702826512,Boyacá,Covarachía,6,84.945,100.0,100.0,100.0,100.0,100.0,16.6667,0.0,0.0
MUNICIPIO DE CURILLO,800095757,703933010,Caquetá,Curillo,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE LA SALINA,800103657,702774316,Casanare,La Salina,6,89.245,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
MUNICIPIO DE LABRANZAGRANDE,800099206,703628628,Boyacá,No Definido,6,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE SACHICA,800019846,703690545,Boyacá,Sáchica,6,89.515,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
MUNICIPIO DE SALADOBLANCO,891180180,700591159,Huila,Saladoblanco,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MUNICIPIO DE SANTANA,800020733,703361501,Boyacá,Santana,6,89.2467,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE TIBASOSA,891855361,703617746,Boyacá,Tibasosa,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
RECLUSION MUJERES MANIZALES,810001114,703781641,Caldas,No Definido,6,89.7833,100.0,100.0,100.0,100.0,100.0,83.3333,0.0,0.0
RED DE SALUD DEL NORTE EMPRESA SOCIAL DEL ESTADO,805027287,704258540,Valle del Cauca,Cali,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
UNIQUINDIO,890000432,702997172,Quindío,Armenia,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Universidad EIA - Escuela de Ingeniería de Antioquia - Comprador,8909837226,714199023,Antioquia,Envigado,6,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
AGUAS DE PALMIRA S.A. E.S.P.,900596967,704687565,Valle del Cauca,Palmira,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
ALCALDIA DE GUATEQUE,800013683,703365460,Boyacá,Guateque,5,86.45,100.0,100.0,100.0,100.0,100.0,40.0,0.0,0.0
ALCALDIA MUNICIPAL DE ARATOCA,890205334,704332410,Santander,Aratoca,5,85.16,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
ALCALDIA MUNICIPAL DE COPER,891801363,704874205,Boyacá,Coper,5,85.806,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
ALCALDIA MUNICIPAL SUSACON BOYACA,891856472,707267159,Boyacá,Susacón,5,89.676,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ALCALDIA MUNICIPIO DE CABRERA,890205575,702230129,Santander,Cabrera,5,86.452,100.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0
ALCALDIA MUNICIPIO DE CUCAITA,891802089,701638074,Boyacá,Cucaita,5,85.16,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
ALCALDIA MUNICIPIO DE LA PAZ,8902053083,704859735,Santander,La Paz,5,85.484,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
ALCALDÍA MUNICIPIO DE GÜICÁN,800099202,706131869,No Definido,No Definido,5,88.388,100.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0
ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO- AMUNORTE,8110303954,715939583,Antioquia,Medellín,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Alcaldía Municipal De Hatonuevo,800255101,700457047,La Guajira,Hatonuevo,5,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
Asociación Colombiana de las micro pequeñas y medianas empresas,890101834,715938544,Atlántico,Barranquilla,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE GARZÓN,813002062,701110462,Huila,Garzón,5,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
CONCEJO MUNICIPAL DE MONTERIA,812000227,715307179,Córdoba,Montería,5,88.708,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0
CONCEJO MUNICIPAL MARMATO,890801145,707496550,Caldas,Marmato,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
CONTRALORIA GENERAL DE LA REPUBLICA-CGR-GERENCIA DEPARTAMENTAL CORDOBA,899999067,708726294,No Definido,No Definido,5,89.998,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
CONTRALORIA GENERAL DEL DEPARTAMENTO DEL CESAR,892300534,712587278,Cesar,Valledupar,5,85.16,100.0,100.0,80.0,100.0,100.0,20.0,0.0,0.0
CUERPO DE BOMBEROS OFICIAL DE MONTERIA,800211751,715195145,Córdoba,Montería,5,89.03,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0
DIRECCION TERRITORIAL DE SUCRE DE MINISTERIO DEL TRABAJO,823003505,703684555,Sucre,Sincelejo,5,86.128,100.0,100.0,100.0,100.0,100.0,40.0,0.0,0.0
DIRECCION TERRITORIAL DEL MINISTERIO DEL TRABAJO DEL VALLE DEL CAUCA,805026609,703576736,Valle del Cauca,No Definido,5,85.16,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
EPMSC HONDA,809003291,703671651,Tolima,Honda,5,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE BARRANCABERMEJA,829000754,703083030,Santander,Barrancabermeja,5,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE VILLETA,832001795,701123150,Cundinamarca,Villeta,5,89.676,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
FONDO DE VIVIENDA OBRERA DE DUITAMA,800051294,700586142,Boyacá,Duitama,5,87.096,100.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0
FUNDACION TECNALIA COLOMBIA,9001809135,714198520,Distrito Capital de Bogotá,Bogotá,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
FUNDACION UNIVERSIDAD DEL NORTE,8901016819,714704632,Atlántico,Barranquilla,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
INSTITUCION EDUCATIVA DEPARTAMENTAL INTEGRADO PULI,8999993731,708147285,No Definido,No Definido,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
INSTITUCIÓN EDUCATIVA DEPARTAMENTAL RURAL EL MORTIÑO DE COGUA,9000181881,702839069,Cundinamarca,No Definido,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
INSTITUTO DE DEPORTES Y RECREACION DE BARBOSA ANTIOQUIA,811006833,705405041,Antioquia,No Definido,5,87.096,100.0,100.0,100.0,100.0,100.0,40.0,0.0,0.0
MINISTERIO DEL TRABAJO - DIRECCION TERRITORIAL DE CUNDINAMARCA,901074333,703210864,No Definido,No Definido,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
MUNICIPIO DE CERINZA,891857805,705273670,Boyacá,Cerinza,5,89.676,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE CHITA,891801962,702350935,Boyacá,Chita,5,88.71,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0
MUNICIPIO DE ITUANGO,890982278,702442021,No Definido,No Definido,5,89.354,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE PAYA,800065411,702258203,Boyacá,Paya,5,89.676,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE SOMONDOCO,800029826,703715409,Boyacá,Somondoco,5,88.708,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0
MUNICIPIO DE SORA,800019277,703786087,Boyacá,Sora,5,89.998,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE TOCA*,800099642,703595579,Boyacá,No Definido,5,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
MUNICIPIO DE TOCAIMA,800093439,702309808,Cundinamarca,Tocaima,5,87.742,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0
MUNICIPIO DE TUTA,800027292,703665059,Boyacá,Tuta,5,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
UNIDAD ADMINISTRATIVA ESPECIAL UNIDAD DE PROYECCION NORMATIVA Y ESTUDIOS DE REGULACION FINANCIERA,900657800,701316150,Distrito Capital de Bogotá,No Definido,5,85.16,100.0,100.0,100.0,100.0,100.0,20.0,0.0,0.0
ALCALDIA CERRITO SANTANDER,890209889,702541202,No Definido,No Definido,4,89.1125,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0
ALCALDIA DE PUERTO GUZMAN,800222489,705972784,Putumayo,Puerto Guzmán,4,89.515,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0
ALCALDIA DE TINJACA,800028436,701667677,Boyacá,Tinjacá,4,87.9025,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0
ALCALDIA MUNICIPAL DE BRICEÑO BOYACA,800099721,707861852,Boyacá,Briceño,4,87.9025,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0
ALCALDIA MUNICIPAL DE CACHIRA,890501776,704829027,No Definido,No Definido,4,87.0975,100.0,100.0,100.0,100.0,100.0,50.0,0.0,0.0
ALCALDIA MUNICIPAL DE GUAMAL MAGDALENA,891780047,704359256,Magdalena,Guamal,4,83.87,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
ALCALDIA MUNICIPAL DE SABOYA,800028517,704782028,No Definido,No Definido,4,90.32,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
