Feature,Coefficient
cat__codigo_principal_de_categoria_V1.44121600,-0.2865734894730739
cat__departamento_entidad_Casanare,0.28555120099194414
cat__entidad_DISPENSARIO MEDICO DE CALI,0.2853865724125695
cat__codigo_entidad_702964248,0.2853865724125695
cat__entidad_MINISTERIO DE HACIENDA Y CREDITO PUBLICO,0.28485688199313897
cat__nit_entidad_899999090,0.28485688199313897
cat__codigo_entidad_700065089,0.28485688199313897
cat__categorias_adicionales_V193141701,-0.28352452320568633
cat__codigo_principal_de_categoria_V1.40171708,0.2834898608500346
cat__codigo_principal_de_categoria_V1.23261507,-0.2833825065690296
cat__nit_entidad_8999990341,0.2831103085096474
cat__codigo_principal_de_categoria_V1.77101500,-0.2813044768681754
cat__codigo_principal_de_categoria_V1.40141700,0.28098586313737284
cat__nombre_de_la_unidad_de_CONTRATOS,-0.280744257530145
